id,card_id,user_id,card_number,exp_month,exp_year,customer_id,email,address_city,address_country,address_state,address_zip,name_on_card,DBSCAN,IsolationForest,Autoencoder,Autoencoder_Error
3029,122fc980-9f76-423d-8827-1d794867bd7a,1970,9279920990517488,5,2023,65b7a8a9-279b-40b9-95bd-2d13302f19e1,michael5582@example.com,Houston,USA,California,77638,Michael Smith,1,1,0,1.0789506305492624
3029,122fc980-9f76-423d-8827-1d794867bd7a,6024,9279920990517488,5,2023,65b7a8a9-279b-40b9-95bd-2d13302f19e1,michael5582@example.com,Houston,USA,California,77638,Michael Smith,1,1,0,1.0789506305492624
3047,fa3c0fc3-c859-406a-acaf-8cee7b49be25,9769,7151655702906000,10,2025,ae1af41a-c4ba-453b-887d-ab1c244eefc0,linda8456@example.com,Chicago,USA,Texas,58076,Linda Garcia,0,1,1,1.5282038513845635
3047,fa3c0fc3-c859-406a-acaf-8cee7b49be25,5847,7151655702906000,10,2025,ae1af41a-c4ba-453b-887d-ab1c244eefc0,linda8456@example.com,Chicago,USA,Texas,58076,Linda Garcia,0,1,1,1.5282038513845635
3087,89511e08-b14b-4dbe-acd6-dc3022cc9e47,6882,8025715340624395,1,2028,51ee3561-75a3-4598-8930-9b0a1532dacb,patricia2593@example.com,New York,USA,California,87874,Patricia Davis,1,1,0,1.0953908626665745
3087,89511e08-b14b-4dbe-acd6-dc3022cc9e47,8337,8025715340624395,1,2028,51ee3561-75a3-4598-8930-9b0a1532dacb,patricia2593@example.com,New York,USA,California,87874,Patricia Davis,1,1,0,1.0953908626665745
3089,fdc4648a-b180-4876-b153-c322859561cf,7473,2391881915925340,4,2024,fea5dbbc-7b5b-47a5-847d-46b4f2e1bda4,mary8106@example.com,Chicago,USA,California,33456,Mary Brown,1,1,0,1.0035885304160503
3089,fdc4648a-b180-4876-b153-c322859561cf,4049,2391881915925340,4,2024,fea5dbbc-7b5b-47a5-847d-46b4f2e1bda4,mary8106@example.com,Chicago,USA,California,33456,Mary Brown,1,1,0,1.0035885304160503
3097,c5e24025-f586-4932-b78c-e72be68922c3,1467,9408644247232081,11,2026,bf869ca8-ea4d-491f-9240-4c70dc009092,john6838@example.com,Phoenix,USA,Texas,82364,John Brown,0,1,1,1.5493712223235085
3097,c5e24025-f586-4932-b78c-e72be68922c3,3802,9408644247232081,11,2026,bf869ca8-ea4d-491f-9240-4c70dc009092,john6838@example.com,Phoenix,USA,Texas,82364,John Brown,0,1,1,1.5493712223235085
3194,5ea260a0-b29f-4f6c-8c14-a0cf6be51ae7,2874,6034396550959925,11,2028,fb029da1-a892-474d-bc1c-1d5c3b3eca73,linda7056@example.com,Los Angeles,USA,California,54679,Linda Jones,1,1,0,1.0360448196009295
3194,5ea260a0-b29f-4f6c-8c14-a0cf6be51ae7,4123,6034396550959925,11,2028,fb029da1-a892-474d-bc1c-1d5c3b3eca73,linda7056@example.com,Los Angeles,USA,California,54679,Linda Jones,1,1,0,1.0360448196009295
3489,a4f66000-28d4-4e6f-8b8f-6392eb601812,5867,1948967371372297,2,2026,4dd661a8-0834-4c27-b1c8-8622dbe7e753,michael7995@example.com,Houston,USA,Texas,67038,Michael Rodriguez,1,1,1,1.5417748329212768
3489,a4f66000-28d4-4e6f-8b8f-6392eb601812,1000,1948967371372297,2,2026,4dd661a8-0834-4c27-b1c8-8622dbe7e753,michael7995@example.com,Houston,USA,Texas,67038,Michael Rodriguez,1,1,1,1.5417748329212768
3506,334070d0-5dbe-4215-a3d3-46daba5e638b,6473,7857134303680051,2,2029,509f7035-f05e-42ec-85a4-5febcd9bbe6c,william3884@example.com,Los Angeles,USA,Texas,89657,William Smith,1,1,1,1.6420627044692804
3506,334070d0-5dbe-4215-a3d3-46daba5e638b,8786,7857134303680051,2,2029,509f7035-f05e-42ec-85a4-5febcd9bbe6c,william3884@example.com,Los Angeles,USA,Texas,89657,William Smith,1,1,1,1.6420627044692804
3604,ffc19838-29b2-41db-afb4-6ac0c207dd28,3714,1679615126200893,12,2023,59c39234-5935-48b7-90fe-14913a5e5096,jennifer3847@example.com,Chicago,USA,Illinois,18490,Jennifer Miller,1,1,1,1.2806659483789586
3604,ffc19838-29b2-41db-afb4-6ac0c207dd28,4222,1679615126200893,12,2023,59c39234-5935-48b7-90fe-14913a5e5096,jennifer3847@example.com,Chicago,USA,Illinois,18490,Jennifer Miller,1,1,1,1.2806659483789586
3667,55277ccf-5bee-43ae-81cd-e15a081a000b,2524,9297555539294100,11,2025,7314b3c8-ee4f-4e1c-a562-1087b7519101,james1688@example.com,Los Angeles,USA,Texas,79359,James Davis,0,1,1,1.583522195532221
3667,55277ccf-5bee-43ae-81cd-e15a081a000b,6235,9297555539294100,11,2025,7314b3c8-ee4f-4e1c-a562-1087b7519101,james1688@example.com,Los Angeles,USA,Texas,79359,James Davis,0,1,1,1.583522195532221
3669,b8176dc7-c969-4193-bc27-26950c7e80b4,5317,2353525037857382,4,2030,d6bb9207-59ed-4c7b-8fe6-6f67ff928149,william3696@example.com,Los Angeles,USA,Texas,91030,William Brown,1,1,1,1.6494304994112872
3669,b8176dc7-c969-4193-bc27-26950c7e80b4,5179,2353525037857382,4,2030,d6bb9207-59ed-4c7b-8fe6-6f67ff928149,william3696@example.com,Los Angeles,USA,Texas,91030,William Brown,1,1,1,1.6494304994112872
